scrape_date,game_id,start_date,game_status,team_type,team_name,team_score,opponent_name,opponent_score,venue,city,state,over_pick_percent,under_pick_percent,betmgm_opening_over_odds,betmgm_opening_under_odds,betmgm_opening_total,betmgm_current_over_odds,betmgm_current_under_odds,betmgm_current_total,fanduel_opening_over_odds,fanduel_opening_under_odds,fanduel_opening_total,fanduel_current_over_odds,fanduel_current_under_odds,fanduel_current_total,caesars_opening_over_odds,caesars_opening_under_odds,caesars_opening_total,caesars_current_over_odds,caesars_current_under_odds,caesars_current_total,bet365_opening_over_odds,bet365_opening_under_odds,bet365_opening_total,bet365_current_over_odds,bet365_current_under_odds,bet365_current_total,draftkings_opening_over_odds,draftkings_opening_under_odds,draftkings_opening_total,draftkings_current_over_odds,draftkings_current_under_odds,draftkings_current_total,betrivers_opening_over_odds,betrivers_opening_under_odds,betrivers_opening_total,betrivers_current_over_odds,betrivers_current_under_odds,betrivers_current_total,bet_rivers_ny_opening_over_odds,bet_rivers_ny_opening_under_odds,bet_rivers_ny_opening_total,bet_rivers_ny_current_over_odds,bet_rivers_ny_current_under_odds,bet_rivers_ny_current_total
2022-11-07,274538,2022-11-07T17:00:00+00:00,Final,away,Brescia,52,Middle TN,79,Murphy Athletic Center,Murfreesboro,TN,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,274538,2022-11-07T17:00:00+00:00,Final,home,Middle TN,79,Brescia,52,Murphy Athletic Center,Murfreesboro,TN,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,271586,2022-11-07T17:00:00+00:00,Final,away,Miss Valley St,53,Baylor,117,Ferrell Center,Waco,TX,54.25531914893617,45.744680851063826,,,,,,,,,,,,,,,,,,,,,,,,,-115.0,-115.0,74.5,-115.0,-115.0,74.5,,,,,,,-117.0,-117.0,75.0,-112.0,-122.0,80.5
2022-11-07,271586,2022-11-07T17:00:00+00:00,Final,home,Baylor,117,Miss Valley St,53,Ferrell Center,Waco,TX,54.25531914893617,45.744680851063826,,,,,,,,,,,,,,,,,,,,,,,,,-115.0,-115.0,74.5,-115.0,-115.0,74.5,,,,,,,-117.0,-117.0,75.0,-112.0,-122.0,80.5
2022-11-07,276293,2022-11-07T18:00:00+00:00,Final,away,Kansas Christian,79,Prairie View A&M,94,William J. Nicks Building,Prairie View,TX,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,276293,2022-11-07T18:00:00+00:00,Final,home,Prairie View A&M,94,Kansas Christian,79,William J. Nicks Building,Prairie View,TX,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,273832,2022-11-07T19:00:00+00:00,Final,away,Pacific,78,Stanford,88,Maples Pavilion,Stanford,CA,35.9375,64.0625,,,,,,,,,,,,,,,,,,,-110.0,-110.0,75.5,-110.0,-110.0,75.0,-115.0,-115.0,73.5,-115.0,-115.0,74.5,,,,,,,-118.0,-115.0,73.0,-122.0,-112.0,73.0
2022-11-07,273832,2022-11-07T19:00:00+00:00,Final,home,Stanford,88,Pacific,78,Maples Pavilion,Stanford,CA,35.9375,64.0625,,,,,,,,,,,,,,,,,,,-110.0,-110.0,75.5,-110.0,-110.0,75.0,-115.0,-115.0,73.5,-115.0,-115.0,74.5,,,,,,,-118.0,-115.0,73.0,-122.0,-112.0,73.0
2022-11-07,274565,2022-11-07T21:00:00+00:00,Final,away,Valley Forge,38,James Madison,123,Atlantic Union Bank Center,Harrisonburg,VA,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,274565,2022-11-07T21:00:00+00:00,Final,home,James Madison,123,Valley Forge,38,Atlantic Union Bank Center,Harrisonburg,VA,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,274452,2022-11-07T22:00:00+00:00,Final,away,Harvard,68,Morehouse,63,Forbes Arena,Atlanta,GA,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,274452,2022-11-07T22:00:00+00:00,Final,home,Morehouse,63,Harvard,68,Forbes Arena,Atlanta,GA,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,274541,2022-11-07T22:00:00+00:00,Final,away,Johnson & Wales (NC),60,UNC Greensboro,93,Greensboro Coliseum,Greensboro,NC,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,274541,2022-11-07T22:00:00+00:00,Final,home,UNC Greensboro,93,Johnson & Wales (NC),60,Greensboro Coliseum,Greensboro,NC,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,276149,2022-11-07T22:30:00+00:00,Final,away,Defiance,27,Oakland,92,Athletics Center O'rena,Rochester,MI,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,276149,2022-11-07T22:30:00+00:00,Final,home,Oakland,92,Defiance,27,Athletics Center O'rena,Rochester,MI,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,274073,2022-11-07T23:00:00+00:00,Final,away,Coppin St.,59,Charlotte,82,Dale F. Halton Arena,Charlotte,NC,46.808510638297875,53.191489361702125,,,,,,,-120.0,-104.0,73.5,-120.0,-104.0,72.5,,,,,,,,,,,,,-115.0,-115.0,75.5,-135.0,105.0,66.5,,,,,,,,,,,,
2022-11-07,274073,2022-11-07T23:00:00+00:00,Final,home,Charlotte,82,Coppin St.,59,Dale F. Halton Arena,Charlotte,NC,46.808510638297875,53.191489361702125,,,,,,,-120.0,-104.0,73.5,-120.0,-104.0,72.5,,,,,,,,,,,,,-115.0,-115.0,75.5,-135.0,105.0,66.5,,,,,,,,,,,,
2022-11-07,274540,2022-11-07T23:00:00+00:00,Final,away,Fisher College,43,UMass Lowell,108,Costello Athletic Center,Lowell,MA,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,274540,2022-11-07T23:00:00+00:00,Final,home,UMass Lowell,108,Fisher College,43,Costello Athletic Center,Lowell,MA,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,276148,2022-11-07T23:00:00+00:00,Final,away,Milwaukee School of Engineering,46,Milwaukee,102,UW-Milwaukee Panther Arena,Milwaukee,WI,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,276148,2022-11-07T23:00:00+00:00,Final,home,Milwaukee,102,Milwaukee School of Engineering,46,UW-Milwaukee Panther Arena,Milwaukee,WI,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,271543,2022-11-07T23:30:00+00:00,Final,away,La Salle,68,Villanova,81,The William B. Finneran Pavilion,Bryn Mawr,PA,43.217665615141954,56.782334384858046,,,,,,,,,,,,,,,,,,,-110.0,-110.0,72.5,-110.0,-110.0,70.5,-115.0,-115.0,72.5,-115.0,-115.0,85.5,,,,,,,-113.0,-121.0,72.0,-122.0,-112.0,85.5
2022-11-07,271543,2022-11-07T23:30:00+00:00,Final,home,Villanova,81,La Salle,68,The William B. Finneran Pavilion,Bryn Mawr,PA,43.217665615141954,56.782334384858046,,,,,,,,,,,,,,,,,,,-110.0,-110.0,72.5,-110.0,-110.0,70.5,-115.0,-115.0,72.5,-115.0,-115.0,85.5,,,,,,,-113.0,-121.0,72.0,-122.0,-112.0,85.5
2022-11-07,276237,2022-11-07T23:30:00+00:00,Final,away,Howard,63,Kentucky,95,Rupp Arena,Lexington,KY,52.63157894736842,47.368421052631575,,,,,,,-112.0,-112.0,75.5,-112.0,-114.0,77.5,,,,,,,,,,,,,-115.0,-115.0,77.5,105.0,-135.0,82.5,,,,,,,-114.0,-120.0,77.5,-113.0,-121.0,85.0
2022-11-07,276237,2022-11-07T23:30:00+00:00,Final,home,Kentucky,95,Howard,63,Rupp Arena,Lexington,KY,52.63157894736842,47.368421052631575,,,,,,,-112.0,-112.0,75.5,-112.0,-114.0,77.5,,,,,,,,,,,,,-115.0,-115.0,77.5,105.0,-135.0,82.5,,,,,,,-114.0,-120.0,77.5,-113.0,-121.0,85.0
2022-11-07,271557,2022-11-07T23:30:00+00:00,Final,away,Fort Wayne,56,Michigan,75,Crisler Center,Ann Arbor,MI,51.515151515151516,48.484848484848484,,,,,,,-112.0,-112.0,76.5,-104.0,-120.0,78.5,,,,,,,-110.0,-110.0,78.0,-110.0,-110.0,79.0,-115.0,-115.0,79.5,105.0,-135.0,64.5,,,,,,,-115.0,-120.0,79.0,-122.0,-112.0,62.5
2022-11-07,271557,2022-11-07T23:30:00+00:00,Final,home,Michigan,75,Fort Wayne,56,Crisler Center,Ann Arbor,MI,51.515151515151516,48.484848484848484,,,,,,,-112.0,-112.0,76.5,-104.0,-120.0,78.5,,,,,,,-110.0,-110.0,78.0,-110.0,-110.0,79.0,-115.0,-115.0,79.5,105.0,-135.0,64.5,,,,,,,-115.0,-120.0,79.0,-122.0,-112.0,62.5
2022-11-07,274550,2022-11-07T23:30:00+00:00,Final,away,Warren Wilson,74,Appalachian St.,142,George M. Holmes Convocation Center,Boone,NC,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,274550,2022-11-07T23:30:00+00:00,Final,home,Appalachian St.,142,Warren Wilson,74,George M. Holmes Convocation Center,Boone,NC,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,274077,2022-11-07T23:30:00+00:00,Final,away,New Orleans,53,Butler,89,Hinkle Fieldhouse,Indianapolis,IN,43.28358208955223,56.71641791044776,,,,,,,-110.0,-114.0,76.5,-110.0,-114.0,76.5,,,,,,,,,,,,,-115.0,-115.0,73.5,-115.0,-115.0,82.5,,,,,,,-122.0,-114.0,74.0,-110.0,-125.0,79.0
2022-11-07,274077,2022-11-07T23:30:00+00:00,Final,home,Butler,89,New Orleans,53,Hinkle Fieldhouse,Indianapolis,IN,43.28358208955223,56.71641791044776,,,,,,,-110.0,-114.0,76.5,-110.0,-114.0,76.5,,,,,,,,,,,,,-115.0,-115.0,73.5,-115.0,-115.0,82.5,,,,,,,-122.0,-114.0,74.0,-110.0,-125.0,79.0
2022-11-07,274078,2022-11-07T23:45:00+00:00,Final,away,Merrimack,72,St. John's,97,Carnesecca Arena,Queens,NY,54.2713567839196,45.7286432160804,,,,,,,-118.0,-106.0,73.5,-118.0,-104.0,72.5,,,,,,,,,,,,,-115.0,-115.0,72.5,-115.0,-115.0,81.5,,,,,,,,,,,,
2022-11-07,274078,2022-11-07T23:45:00+00:00,Final,home,St. John's,97,Merrimack,72,Carnesecca Arena,Queens,NY,54.2713567839196,45.7286432160804,,,,,,,-118.0,-106.0,73.5,-118.0,-104.0,72.5,,,,,,,,,,,,,-115.0,-115.0,72.5,-115.0,-115.0,81.5,,,,,,,,,,,,
2022-11-07,275854,2022-11-08T00:00:00+00:00,Final,away,NJIT,59,Saint Peter's,73,Yanitelli Center,Jersey City,NJ,43.75,56.25,,,,,,,-120.0,-104.0,67.5,-114.0,-110.0,67.5,,,,,,,,,,,,,-115.0,-115.0,69.5,-115.0,-115.0,68.5,,,,,,,,,,,,
2022-11-07,275854,2022-11-08T00:00:00+00:00,Final,home,Saint Peter's,73,NJIT,59,Yanitelli Center,Jersey City,NJ,43.75,56.25,,,,,,,-120.0,-104.0,67.5,-114.0,-110.0,67.5,,,,,,,,,,,,,-115.0,-115.0,69.5,-115.0,-115.0,68.5,,,,,,,,,,,,
2022-11-07,275856,2022-11-08T00:00:00+00:00,Final,away,Colgate,87,Buffalo,88,Alumni Arena,Buffalo,NY,54.14364640883977,45.85635359116022,,,,,,,-116.0,-108.0,78.5,-118.0,-106.0,78.5,,,,,,,,,,,,,-115.0,-115.0,80.5,-115.0,-115.0,81.5,,,,,,,,,,,,
2022-11-07,275856,2022-11-08T00:00:00+00:00,Final,home,Buffalo,88,Colgate,87,Alumni Arena,Buffalo,NY,54.14364640883977,45.85635359116022,,,,,,,-116.0,-108.0,78.5,-118.0,-106.0,78.5,,,,,,,,,,,,,-115.0,-115.0,80.5,-115.0,-115.0,81.5,,,,,,,,,,,,
2022-11-07,275857,2022-11-08T00:00:00+00:00,Final,away,Siena,75,Holy Cross,68,Hart Recreation Center,Worcester,MA,38.91891891891892,61.08108108108108,,,,,,,-120.0,-104.0,70.5,-110.0,-114.0,70.5,,,,,,,,,,,,,-115.0,-115.0,69.5,105.0,-135.0,77.5,,,,,,,,,,,,
2022-11-07,275857,2022-11-08T00:00:00+00:00,Final,home,Holy Cross,68,Siena,75,Hart Recreation Center,Worcester,MA,38.91891891891892,61.08108108108108,,,,,,,-120.0,-104.0,70.5,-110.0,-114.0,70.5,,,,,,,,,,,,,-115.0,-115.0,69.5,105.0,-135.0,77.5,,,,,,,,,,,,
2022-11-07,275899,2022-11-08T00:00:00+00:00,Final,away,Guilford,64,Davidson,87,John M. Belk Arena,Davidson,NC,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,275899,2022-11-08T00:00:00+00:00,Final,home,Davidson,87,Guilford,64,John M. Belk Arena,Davidson,NC,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,275900,2022-11-08T00:00:00+00:00,Final,away,Wilmington (DE),54,Delaware,78,Bob Carpenter Center,Newark,DE,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,275900,2022-11-08T00:00:00+00:00,Final,home,Delaware,78,Wilmington (DE),54,Bob Carpenter Center,Newark,DE,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,275903,2022-11-08T00:00:00+00:00,Final,away,Edward Waters,61,NC A&T,100,Corbett Sports Center,Greensboro,NC,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,275903,2022-11-08T00:00:00+00:00,Final,home,NC A&T,100,Edward Waters,61,Corbett Sports Center,Greensboro,NC,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,275904,2022-11-08T00:00:00+00:00,Final,away,Erskine,55,Elon University,80,Schar Center,Elon,NC,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,275904,2022-11-08T00:00:00+00:00,Final,home,Elon University,80,Erskine,55,Schar Center,Elon,NC,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,276090,2022-11-08T00:00:00+00:00,Final,away,Green Bay,53,Indiana St.,80,Hulman Center,Terre Haute,IN,50.0,50.0,,,,,,,-104.0,-120.0,72.5,-106.0,-118.0,73.5,,,,,,,-110.0,-110.0,74.0,-110.0,-110.0,74.0,-115.0,-115.0,72.5,105.0,-135.0,70.5,,,,,,,,,,,,
2022-11-07,276090,2022-11-08T00:00:00+00:00,Final,home,Indiana St.,80,Green Bay,53,Hulman Center,Terre Haute,IN,50.0,50.0,,,,,,,-104.0,-120.0,72.5,-106.0,-118.0,73.5,,,,,,,-110.0,-110.0,74.0,-110.0,-110.0,74.0,-115.0,-115.0,72.5,105.0,-135.0,70.5,,,,,,,,,,,,
2022-11-07,276146,2022-11-08T00:00:00+00:00,Final OT,away,SD State,80,Akron,81,James A. Rhodes Arena,Akron,OH,42.64150943396226,57.35849056603774,,,,,,,-104.0,-120.0,76.5,-106.0,-118.0,75.5,,,,,,,-110.0,-110.0,76.5,-110.0,-110.0,76.5,-115.0,-115.0,76.5,105.0,-135.0,68.5,,,,,,,,,,,,
2022-11-07,276146,2022-11-08T00:00:00+00:00,Final OT,home,Akron,81,SD State,80,James A. Rhodes Arena,Akron,OH,42.64150943396226,57.35849056603774,,,,,,,-104.0,-120.0,76.5,-106.0,-118.0,75.5,,,,,,,-110.0,-110.0,76.5,-110.0,-110.0,76.5,-115.0,-115.0,76.5,105.0,-135.0,68.5,,,,,,,,,,,,
2022-11-07,276151,2022-11-08T00:00:00+00:00,Final,away,Valparaiso,70,Toledo,85,Savage Arena,Toledo,OH,40.0,60.0,,,,,,,-118.0,-106.0,74.5,-112.0,-114.0,74.5,,,,,,,-110.0,-110.0,77.5,-110.0,-110.0,78.5,-115.0,-115.0,75.5,-115.0,-115.0,72.5,,,,,,,,,,,,
2022-11-07,276151,2022-11-08T00:00:00+00:00,Final,home,Toledo,85,Valparaiso,70,Savage Arena,Toledo,OH,40.0,60.0,,,,,,,-118.0,-106.0,74.5,-112.0,-114.0,74.5,,,,,,,-110.0,-110.0,77.5,-110.0,-110.0,78.5,-115.0,-115.0,75.5,-115.0,-115.0,72.5,,,,,,,,,,,,
2022-11-07,276560,2022-11-08T00:00:00+00:00,Final,away,Carolina University,42,Presbyterian,76,Templeton Physical Education Center,Clinton,SC,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,276560,2022-11-08T00:00:00+00:00,Final,home,Presbyterian,76,Carolina University,42,Templeton Physical Education Center,Clinton,SC,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,277006,2022-11-08T00:00:00+00:00,Final,away,Thomas College,39,Bryant,147,Chace Athletic Center,Smithfield,RI,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,277006,2022-11-08T00:00:00+00:00,Final,home,Bryant,147,Thomas College,39,Chace Athletic Center,Smithfield,RI,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,277438,2022-11-08T00:00:00+00:00,Final,away,LaGrange,56,Kennesaw St.,99,KSU Convocation Center,Kennesaw,GA,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,277438,2022-11-08T00:00:00+00:00,Final,home,Kennesaw St.,99,LaGrange,56,KSU Convocation Center,Kennesaw,GA,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,271553,2022-11-08T00:00:00+00:00,Final,away,Robert Morris,53,Ohio St.,91,Value City Arena,Columbus,OH,58.45588235294118,41.544117647058826,,,,,,,-120.0,-104.0,73.5,-112.0,-112.0,73.5,,,,,,,-110.0,-110.0,74.0,-110.0,-110.0,73.5,-115.0,-115.0,72.5,-115.0,-115.0,74.5,,,,,,,-114.0,-120.0,73.0,-110.0,-124.0,74.5
2022-11-07,271553,2022-11-08T00:00:00+00:00,Final,home,Ohio St.,91,Robert Morris,53,Value City Arena,Columbus,OH,58.45588235294118,41.544117647058826,,,,,,,-120.0,-104.0,73.5,-112.0,-112.0,73.5,,,,,,,-110.0,-110.0,74.0,-110.0,-110.0,73.5,-115.0,-115.0,72.5,-115.0,-115.0,74.5,,,,,,,-114.0,-120.0,73.0,-110.0,-124.0,74.5
2022-11-07,271558,2022-11-08T00:00:00+00:00,Final,away,Niagara,49,Maryland,71,XFINITY Center,College Park,MD,58.582089552238806,41.417910447761194,,,,,,,-118.0,-106.0,70.5,-112.0,-114.0,71.5,,,,,,,-110.0,-110.0,71.0,-110.0,-110.0,69.5,-115.0,-115.0,71.5,-135.0,105.0,56.5,,,,,,,,,,,,
2022-11-07,271558,2022-11-08T00:00:00+00:00,Final,home,Maryland,71,Niagara,49,XFINITY Center,College Park,MD,58.582089552238806,41.417910447761194,,,,,,,-118.0,-106.0,70.5,-112.0,-114.0,71.5,,,,,,,-110.0,-110.0,71.0,-110.0,-110.0,69.5,-115.0,-115.0,71.5,-135.0,105.0,56.5,,,,,,,,,,,,
2022-11-07,271570,2022-11-08T00:00:00+00:00,Final,away,Tennessee Tech,43,Tennessee,75,Thompson-Boling Arena,Knoxville,TN,59.92366412213741,40.0763358778626,,,,,,,-110.0,-114.0,75.5,-110.0,-114.0,74.5,,,,,,,-110.0,-110.0,72.5,-110.0,-110.0,70.0,-115.0,-115.0,74.5,-135.0,105.0,80.5,,,,,,,-117.0,-117.0,75.0,-124.0,-110.0,80.5
2022-11-07,271570,2022-11-08T00:00:00+00:00,Final,home,Tennessee,75,Tennessee Tech,43,Thompson-Boling Arena,Knoxville,TN,59.92366412213741,40.0763358778626,,,,,,,-110.0,-114.0,75.5,-110.0,-114.0,74.5,,,,,,,-110.0,-110.0,72.5,-110.0,-110.0,70.0,-115.0,-115.0,74.5,-135.0,105.0,80.5,,,,,,,-117.0,-117.0,75.0,-124.0,-110.0,80.5
2022-11-07,271579,2022-11-08T00:00:00+00:00,Final,away,Tenn-Martin,58,Pittsburgh,80,Petersen Events Center,Pittsburgh,PA,43.7007874015748,56.2992125984252,,,,,,,-120.0,-104.0,72.5,-112.0,-112.0,72.5,,,,,,,-110.0,-110.0,73.5,-110.0,-110.0,73.5,-115.0,-115.0,73.5,-135.0,105.0,82.5,,,,,,,-121.0,-113.0,72.5,-121.0,-113.0,81.5
2022-11-07,271579,2022-11-08T00:00:00+00:00,Final,home,Pittsburgh,80,Tenn-Martin,58,Petersen Events Center,Pittsburgh,PA,43.7007874015748,56.2992125984252,,,,,,,-120.0,-104.0,72.5,-112.0,-112.0,72.5,,,,,,,-110.0,-110.0,73.5,-110.0,-110.0,73.5,-115.0,-115.0,73.5,-135.0,105.0,82.5,,,,,,,-121.0,-113.0,72.5,-121.0,-113.0,81.5
2022-11-07,271583,2022-11-08T00:00:00+00:00,Final,away,Stetson,83,Florida State,74,Donald L. Tucker Civic Center,Tallahassee,FL,51.42857142857142,48.57142857142857,,,,,,,-118.0,-106.0,73.5,-110.0,-114.0,73.5,,,,,,,,,,,,,-115.0,-115.0,74.5,-115.0,-115.0,73.5,,,,,,,-115.0,-118.0,73.5,-110.0,-124.0,78.0
2022-11-07,271583,2022-11-08T00:00:00+00:00,Final,home,Florida State,74,Stetson,83,Donald L. Tucker Civic Center,Tallahassee,FL,51.42857142857142,48.57142857142857,,,,,,,-118.0,-106.0,73.5,-110.0,-114.0,73.5,,,,,,,,,,,,,-115.0,-115.0,74.5,-115.0,-115.0,73.5,,,,,,,-115.0,-118.0,73.5,-110.0,-124.0,78.0
2022-11-07,271591,2022-11-08T00:00:00+00:00,Final,away,The Citadel,69,Clemson,80,Littlejohn Coliseum,Clemson,SC,52.74725274725275,47.25274725274725,,,,,,,-114.0,-110.0,73.5,-108.0,-116.0,71.5,,,,,,,-110.0,-110.0,74.5,-110.0,-110.0,74.5,-115.0,-115.0,72.5,-115.0,-115.0,74.5,,,,,,,,,,,,
2022-11-07,271591,2022-11-08T00:00:00+00:00,Final,home,Clemson,80,The Citadel,69,Littlejohn Coliseum,Clemson,SC,52.74725274725275,47.25274725274725,,,,,,,-114.0,-110.0,73.5,-108.0,-116.0,71.5,,,,,,,-110.0,-110.0,74.5,-110.0,-110.0,74.5,-115.0,-115.0,72.5,-115.0,-115.0,74.5,,,,,,,,,,,,
2022-11-07,273831,2022-11-08T00:00:00+00:00,Final,away,VMI,48,Richmond,69,Robins Center,Richmond,VA,49.63235294117647,50.36764705882353,,,,,,,-118.0,-106.0,75.5,-120.0,-104.0,74.5,,,,,,,-110.0,-110.0,73.5,-110.0,-110.0,73.5,-115.0,-115.0,75.5,-115.0,-115.0,77.5,,,,,,,,,,,,
2022-11-07,273831,2022-11-08T00:00:00+00:00,Final,home,Richmond,69,VMI,48,Robins Center,Richmond,VA,49.63235294117647,50.36764705882353,,,,,,,-118.0,-106.0,75.5,-120.0,-104.0,74.5,,,,,,,-110.0,-110.0,73.5,-110.0,-110.0,73.5,-115.0,-115.0,75.5,-115.0,-115.0,77.5,,,,,,,,,,,,
2022-11-07,273833,2022-11-08T00:00:00+00:00,Final,away,North Greenville,55,Furman,91,Timmons Arena,Greenville,SC,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,273833,2022-11-08T00:00:00+00:00,Final,home,Furman,91,North Greenville,55,Timmons Arena,Greenville,SC,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,273834,2022-11-08T00:00:00+00:00,Final,away,Northern Arizona,55,Michigan St.,73,Jack Breslin Students Events Center,East Lansing,MI,49.21259842519685,50.78740157480315,,,,,,,-104.0,-120.0,74.5,-114.0,-110.0,75.5,,,,,,,-110.0,-110.0,74.0,-110.0,-110.0,74.0,-115.0,-115.0,75.5,-115.0,-115.0,70.5,,,,,,,-115.0,-118.0,74.5,-114.0,-120.0,70.5
2022-11-07,273834,2022-11-08T00:00:00+00:00,Final,home,Michigan St.,73,Northern Arizona,55,Jack Breslin Students Events Center,East Lansing,MI,49.21259842519685,50.78740157480315,,,,,,,-104.0,-120.0,74.5,-114.0,-110.0,75.5,,,,,,,-110.0,-110.0,74.0,-110.0,-110.0,74.0,-115.0,-115.0,75.5,-115.0,-115.0,70.5,,,,,,,-115.0,-118.0,74.5,-114.0,-120.0,70.5
2022-11-07,274056,2022-11-08T00:00:00+00:00,Final,away,Manhattan,56,VCU,73,Stuart C. Siegel Center,Richmond,VA,40.604026845637584,59.395973154362416,,,,,,,-116.0,-108.0,71.5,-108.0,-116.0,69.5,,,,,,,-110.0,-110.0,72.5,-110.0,-110.0,72.5,-115.0,-115.0,70.5,-115.0,-115.0,62.5,,,,,,,,,,,,
2022-11-07,274056,2022-11-08T00:00:00+00:00,Final,home,VCU,73,Manhattan,56,Stuart C. Siegel Center,Richmond,VA,40.604026845637584,59.395973154362416,,,,,,,-116.0,-108.0,71.5,-108.0,-116.0,69.5,,,,,,,-110.0,-110.0,72.5,-110.0,-110.0,72.5,-115.0,-115.0,70.5,-115.0,-115.0,62.5,,,,,,,,,,,,
2022-11-07,274058,2022-11-08T00:00:00+00:00,Final,away,Quinnipiac,67,Rhode Island,62,Thomas F. Ryan Center,Kingston,RI,46.45669291338583,53.54330708661418,,,,,,,-108.0,-116.0,72.5,-110.0,-114.0,72.5,,,,,,,-110.0,-110.0,73.5,-110.0,-110.0,74.0,-115.0,-115.0,75.5,-115.0,-115.0,74.5,,,,,,,,,,,,
2022-11-07,274058,2022-11-08T00:00:00+00:00,Final,home,Rhode Island,62,Quinnipiac,67,Thomas F. Ryan Center,Kingston,RI,46.45669291338583,53.54330708661418,,,,,,,-108.0,-116.0,72.5,-110.0,-114.0,72.5,,,,,,,-110.0,-110.0,73.5,-110.0,-110.0,74.0,-115.0,-115.0,75.5,-115.0,-115.0,74.5,,,,,,,,,,,,
2022-11-07,274062,2022-11-08T00:00:00+00:00,Final,away,Pennsylvania,50,Iona,78,Hynes Athletic Center,New Rochelle,NY,39.20863309352518,60.79136690647482,,,,,,,,,,,,,,,,,,,-110.0,-110.0,76.0,-110.0,-110.0,76.0,-115.0,-115.0,77.5,-115.0,-115.0,72.5,,,,,,,,,,,,
2022-11-07,274062,2022-11-08T00:00:00+00:00,Final,home,Iona,78,Pennsylvania,50,Hynes Athletic Center,New Rochelle,NY,39.20863309352518,60.79136690647482,,,,,,,,,,,,,,,,,,,-110.0,-110.0,76.0,-110.0,-110.0,76.0,-115.0,-115.0,77.5,-115.0,-115.0,72.5,,,,,,,,,,,,
